,Airline Name,Overall_Rating,Review_Title,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Review_Subjectivity,Review_Polarity,Review_Sentiment_Score
30,Adria Airways,3,"""Adria do not take criticism well""",Economy Class,4.0,5.0,2.0,1.0,3.0,0,0.36500000000000005,-0.07125,-1
31,Adria Airways,1,"""Clean and fresh aircraft """,Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.5966666666666668,0.31233333333333335,1
32,Adria Airways,8,"""the airline did its job""",Economy Class,4.0,4.0,3.0,5.0,4.0,1,0.4875,0.34190476190476193,1
33,Adria Airways,1,"""nice and professional service""",Economy Class,5.0,5.0,2.0,5.0,5.0,1,0.6231404958677685,0.36391184573002755,1
34,Adria Airways,6,"""cabin staff rather absent""",Economy Class,3.0,2.0,2.0,4.0,3.0,1,0.5541666666666667,0.11166666666666665,1
35,Adria Airways,3,"""never flying them again""",Economy Class,2.0,3.0,1.0,3.0,1.0,0,0.5270833333333333,0.060416666666666674,1
36,Adria Airways,5,"""similar to low cost airline""",Economy Class,3.0,3.0,2.0,3.0,2.0,0,0.6606666666666666,0.031000000000000007,1
37,Adria Airways,7,"""what happened in last few months""",Economy Class,5.0,1.0,1.0,5.0,5.0,1,0.4045995670995671,0.18315070346320347,1
38,Adria Airways,9,"""very friendly and helpful staff""",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.6116666666666667,0.41229166666666667,1
39,Adria Airways,5,"""service onboard was poor""",Economy Class,4.0,3.0,2.0,3.0,3.0,0,0.4592592592592592,-0.0009259259259259226,-1
40,Adria Airways,6,"""service of a low cost airline""",Economy Class,4.0,5.0,2.0,5.0,2.0,1,0.4346923076923077,0.11516666666666668,1
41,Adria Airways,1,"""staff friendly but unobtrusive""",Economy Class,5.0,5.0,2.0,5.0,4.0,1,0.6875,0.5202083333333334,1
42,Adria Airways,7,Adria Airways customer review,Economy Class,4.0,4.0,4.0,1.0,4.0,1,0.5875,0.19375,1
43,Adria Airways,1,Adria Airways customer review,Economy Class,4.0,5.0,4.0,1.0,5.0,1,0.6633333333333333,0.3961111111111111,1
44,Adria Airways,9,Adria Airways customer review,Economy Class,5.0,5.0,4.0,1.0,5.0,1,0.6479166666666667,0.4766666666666666,1
45,Adria Airways,8,Adria Airways customer review,Economy Class,4.0,4.0,3.0,1.0,4.0,1,0.3736363636363637,0.2090909090909091,1
46,Adria Airways,4,Adria Airways customer review,Economy Class,4.0,2.0,1.0,1.0,2.0,0,0.6194444444444445,0.1472222222222222,1
47,Adria Airways,9,Adria Airways customer review,Economy Class,4.0,4.0,3.0,1.0,4.0,1,0.536038961038961,0.2288311688311688,1
48,Adria Airways,5,Adria Airways customer review,Economy Class,4.0,4.0,1.0,1.0,3.0,1,0.513888888888889,0.010416666666666676,1
49,Adria Airways,9,Adria Airways customer review,Economy Class,5.0,5.0,4.0,1.0,4.0,1,0.7071717171717171,0.3431144781144781,1
50,Adria Airways,8,Adria Airways customer review,Economy Class,4.0,3.0,4.0,1.0,4.0,1,0.3962698412698412,0.22896825396825396,1
51,Adria Airways,1,Adria Airways customer review,Economy Class,5.0,5.0,4.0,1.0,4.0,1,0.5044444444444444,0.2690277777777778,1
52,Adria Airways,9,Adria Airways customer review,Economy Class,4.0,4.0,4.0,1.0,4.0,1,0.6592207792207792,0.40186147186147186,1
53,Adria Airways,7,Adria Airways customer review,Economy Class,4.0,5.0,3.0,1.0,5.0,1,0.5469791666666666,0.31625000000000003,1
54,Adria Airways,8,Adria Airways customer review,Economy Class,4.0,4.0,4.0,1.0,4.0,1,0.6261111111111111,0.3684722222222222,1
55,Adria Airways,7,Adria Airways customer review,Economy Class,3.0,3.0,4.0,1.0,4.0,1,0.5363636363636364,0.19090909090909092,1
56,Adria Airways,7,Adria Airways customer review,Economy Class,2.0,5.0,4.0,1.0,4.0,1,0.6128205128205129,0.1669871794871795,1
57,Adria Airways,5,Adria Airways customer review,Economy Class,4.0,4.0,1.0,1.0,4.0,1,0.6741025641025643,0.22096153846153846,1
58,Adria Airways,9,Adria Airways customer review,Economy Class,4.0,5.0,4.0,1.0,2.0,1,0.6066137566137566,0.22460317460317458,1
59,Adria Airways,5,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,4.0,1,0.5,0.33999999999999997,1
60,Adria Airways,5,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,4.0,1,0.5714285714285714,-0.05982142857142858,-1
61,Adria Airways,8,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,1.0,1,0.5789015151515152,0.14912878787878792,1
62,Adria Airways,9,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,4.0,1,0.5918333333333333,0.2785,1
63,Adria Airways,5,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.44895833333333335,0.07812499999999999,1
64,Adria Airways,9,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,4.0,1,0.49693877551020404,0.18928571428571425,1
65,Adria Airways,9,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,4.0,1,0.6095238095238095,0.34226190476190477,1
66,Adria Airways,1,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,4.0,1,0.49111111111111105,0.33638888888888885,1
67,Adria Airways,7,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,1.0,1,0.5464285714285715,0.35595238095238096,1
68,Adria Airways,5,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.44523809523809527,0.1880952380952381,1
69,Adria Airways,5,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.6166302118933698,0.14851788562314877,1
70,Adria Airways,6,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,1.0,1,0.512088023088023,0.13583910533910531,1
71,Adria Airways,7,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,4.0,1,0.7251082251082251,0.47229437229437227,1
72,Adria Airways,5,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,4.0,1,0.4,0.375,1
73,Adria Airways,3,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.6181818181818182,0.28939393939393937,1
74,Adria Airways,4,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.6302083333333335,0.29166666666666663,1
75,Adria Airways,4,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.37291666666666673,0.1798611111111111,1
76,Adria Airways,4,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.34444444444444444,-0.012962962962962966,-1
77,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.6904761904761906,0.5014285714285714,1
78,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.5923076923076924,0.19230769230769235,1
79,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.6062500000000001,0.20046875000000003,1
80,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.3193181818181818,0.1868371212121212,1
81,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.5833333333333334,0.3796296296296296,1
82,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.5599206349206349,0.2740873015873016,1
83,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.48726851851851855,0.14976851851851852,1
84,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.5603015873015873,0.09568253968253967,1
85,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.575,0.146875,1
86,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.5337121212121212,0.2940025252525252,1
87,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.6233766233766234,0.2009469696969697,1
88,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.46875,0.13541666666666669,1
89,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.5825757575757575,0.15227272727272728,1
90,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.48095238095238096,0.28214285714285714,1
91,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.6117857142857143,0.2353174603174603,1
92,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.38627450980392153,0.1107843137254902,1
93,Adria Airways,10,Adria Airways customer review,Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.47641414141414146,0.1963131313131313,1
94,Aegean Airlines,1,"""Very poor service""",Economy Class,2.0,1.0,1.0,1.0,1.0,0,0.4278947368421052,-0.14469298245614035,-1
95,Aegean Airlines,1,"""We expected meaningful compensation""",Economy Class,3.0,1.0,3.0,1.0,1.0,0,0.4942322383498854,0.03831168831168832,1
96,Aegean Airlines,4,"""Very poor customer service""",Economy Class,2.0,3.0,3.0,2.0,2.0,1,0.3595454545454545,-0.03363636363636364,-1
97,Aegean Airlines,4,"""Poor customer service""",Economy Class,3.0,2.0,2.0,2.0,2.0,0,0.44791666666666663,-0.1,-1
98,Aegean Airlines,1,"""inconsiderate and extremely incompetent""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.6566666666666666,-0.24,-1
99,Aegean Airlines,1,"""lost all our luggage""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0
100,Aegean Airlines,1,"""pretty bad track record""",Economy Class,3.0,3.0,1.0,1.0,2.0,0,0.4871510673234811,0.016050903119868638,1
101,Aegean Airlines,1,"""would like to thank the employee""",Economy Class,3.0,3.0,2.0,5.0,5.0,1,0.8,0.25,1
102,Aegean Airlines,8,"""FA were courteous and helpful""",Economy Class,3.0,4.0,4.0,3.0,4.0,1,0.4685185185185185,0.24305555555555555,1
103,Aegean Airlines,4,"""baggage came with 1 hour delay and broken""",Economy Class,2.0,4.0,3.0,1.0,2.0,0,0.4609090909090908,-0.022727272727272735,-1
104,Aegean Airlines,1,"""Worst service ever experienced""",Economy Class,5.0,5.0,5.0,1.0,1.0,0,0.4959090909090909,0.02727272727272727,1
105,Aegean Airlines,6,"""seats were changed, splitting up the party""",Economy Class,4.0,3.0,2.0,4.0,5.0,1,0.5091029341029341,0.18763828763828766,1
106,Aegean Airlines,1,"""my baggage did not arrive""",Economy Class,1.0,1.0,2.0,1.0,1.0,0,0.2,0.05,1
107,Aegean Airlines,2,"""they changed our seats""",Economy Class,1.0,2.0,1.0,1.0,3.0,0,0.31500000000000006,0.015000000000000003,1
108,Aegean Airlines,9,"""All in all a great airline""",Economy Class,5.0,5.0,5.0,4.0,5.0,1,0.6074440052700923,0.3327404479578393,1
109,Aegean Airlines,9,"""Crew was friendly""",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.4265259740259741,0.2743506493506494,1
110,Aegean Airlines,1,"""overbooked the flight""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.2916666666666667,0.05833333333333333,1
111,Aegean Airlines,1,"""did not wear a name tag""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.3288156288156288,0.025396825396825393,1
112,Aegean Airlines,8,"""Crew was friendly and helpful""",Economy Class,4.0,5.0,3.0,5.0,5.0,1,0.5820987654320988,0.013271604938271595,1
113,Aegean Airlines,1,"""Please keep up the excellent work""",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.6722222222222222,0.5333333333333333,1
114,Aegean Airlines,9,"""kept up the high standards""",Economy Class,4.0,5.0,5.0,4.0,4.0,1,0.49899999999999994,0.2935,1
115,Aegean Airlines,1,"""my experience was anything but pleasant""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.5111111111111111,0.24409722222222222,1
116,Aegean Airlines,1,"""The ground crew were poor""",Economy Class,3.0,3.0,2.0,1.0,2.0,0,0.35228174603174595,0.08169642857142857,1
117,Aegean Airlines,3,"""refused me with my laptop and small carry on""",Economy Class,4.0,5.0,3.0,1.0,3.0,0,0.6666666666666666,0.44000000000000006,1
118,Aegean Airlines,9,"""In Flight Service was nice""",Economy Class,4.0,5.0,5.0,4.0,5.0,1,0.7428571428571428,0.5535714285714286,1
119,Aegean Airlines,8,"""the crew was very friendly""",Economy Class,2.0,4.0,3.0,5.0,5.0,1,0.68125,0.32343750000000004,1
120,Aegean Airlines,1,"""pay checks for overweight of 8kg""",Economy Class,3.0,2.0,2.0,1.0,1.0,0,0.39999999999999997,0.2051948051948052,1
121,Aegean Airlines,2,"""I wanted to change my ticket""",Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.582,-0.286,-1
122,Aegean Airlines,5,"""crew was very friendly and helpful""",Economy Class,1.0,5.0,2.0,5.0,3.0,0,0.595,-0.006249999999999996,-1
123,Aegean Airlines,1,"""fee to cancel was 45€/ticket""",Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.44,0.01833333333333333,1
124,Aegean Airlines,1,"""Zero customer service""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.4122448979591837,0.1336734693877551,1
125,Aegean Airlines,2,"""has no loyalty to its loyal clients""",Economy Class,1.0,2.0,1.0,2.0,2.0,0,0.4451101928374656,0.06675275482093664,1
126,Aegean Airlines,3,"""Super small space between seats""",Economy Class,2.0,3.0,3.0,3.0,2.0,0,0.5206228956228957,0.2372053872053872,1
127,Aegean Airlines,5,"""told I was a standby passenger""",Economy Class,3.0,3.0,3.0,3.0,3.0,0,0.3,0.1,1
128,Aegean Airlines,1,"""Very poor service""",Economy Class,2.0,1.0,1.0,1.0,1.0,0,0.89,-0.76,-1
129,Aegean Airlines,1,"""Never flying with them again""",Economy Class,4.0,5.0,4.0,1.0,1.0,0,0.45530303030303027,0.08409090909090909,1
130,Aegean Airlines,1,"""professional cabin crew""",Economy Class,5.0,5.0,3.0,5.0,5.0,1,0.29500000000000004,0.335,1
131,Aegean Airlines,1,"""could easily have been avoided""",Economy Class,2.0,1.0,2.0,3.0,3.0,0,0.6059343434343434,0.022095959595959603,1
132,Aegean Airlines,2,"""you will not get any support if something goes wrong""",Economy Class,2.0,4.0,3.0,2.0,3.0,0,0.638888888888889,-0.35555555555555557,-1
133,Aegean Airlines,1,"""One of the best airline apps I have tried so far!""",Economy Class,4.0,5.0,4.0,5.0,5.0,1,0.6865423465423466,0.37950757575757577,1
134,Aegean Airlines,1,"""My bag was delayed""",Economy Class,1.0,1.0,2.0,1.0,1.0,0,0.48666666666666664,-0.35,-1
135,Aegean Airlines,6,"""simply got worse in service""",Economy Class,3.0,3.0,3.0,3.0,3.0,0,0.48656462585034016,-0.046910430839002266,-1
136,Aegean Airlines,1,"""a very bad experience""",Economy Class,2.0,2.0,2.0,1.0,1.0,0,0.6489115646258503,-0.03061224489795916,-1
137,Aegean Airlines,1,"""dysfunctional bureaucracy""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.3939393939393939,-0.01363636363636364,-1
138,Aegean Airlines,5,"""luggage is delayed""",Economy Class,4.0,5.0,3.0,1.0,3.0,0,0.23750000000000002,-0.10000000000000002,-1
139,Aegean Airlines,1,"""had to buy my own meal""",Economy Class,2.0,5.0,2.0,1.0,1.0,0,0.5549242424242424,0.1518939393939394,1
140,Aegean Airlines,5,"""flight attendants were nice""",Economy Class,5.0,5.0,4.0,4.0,3.0,1,0.5231481481481483,0.19652777777777775,1
141,Aegean Airlines,1,"""The best airline in Europe""",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.5285714285714286,0.6142857142857142,1
142,Aegean Airlines,4,"""passed only once for drinks""",Economy Class,3.0,3.0,1.0,4.0,2.0,0,0.6666666666666666,0.08333333333333333,1
143,Aegean Airlines,2,"""luggage arrived nine and twelve days later""",Economy Class,3.0,1.0,2.0,2.0,3.0,0,0.35571428571428576,-0.01,-1
144,Aegean Airlines,6,"""Meal was good for a 90 min flight""",Economy Class,2.0,4.0,4.0,4.0,3.0,1,0.6153882575757577,0.03873106060606059,1
145,Aegean Airlines,2,"""seats reservation was not allowed""",Economy Class,2.0,3.0,2.0,1.0,1.0,0,0.4354166666666667,0.004166666666666666,1
146,Aegean Airlines,2,"""change those seat, paying 12 Euros""",Economy Class,2.0,3.0,3.0,1.0,1.0,0,0.225,0.11666666666666665,1
147,Aegean Airlines,1,"""Aegean exceeded my expectations""",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.2375,0.0875,1
148,Aegean Airlines,5,"""I had to pay 50 euros more""",Economy Class,3.0,4.0,3.0,1.0,1.0,0,0.5060606060606061,-0.0037878787878787745,-1
149,Aegean Airlines,1,"""great flight and highly recommended""",Economy Class,4.0,5.0,5.0,5.0,5.0,1,0.5066666666666666,0.3113725490196078,1
150,Aegean Airlines,1,"""Lost my luggage 3 days ago""",Economy Class,2.0,2.0,1.0,1.0,1.0,0,0.0,0.0,0
151,Aegean Airlines,2,"""Gold Air cannot be reached""",Economy Class,3.0,3.0,1.0,1.0,1.0,0,0.38571428571428573,0.1142857142857143,1
152,Aegean Airlines,1,"""inappropriate delay of the flight""",Economy Class,1.0,1.0,2.0,1.0,1.0,0,0.5777777777777777,-0.1416666666666667,-1
153,Aegean Airlines,1,"""we still have no luggage""",Economy Class,1.0,1.0,2.0,1.0,1.0,0,1.0,-1.0,-1
154,Aegean Airlines,9,"""Professional service on-board""",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.41904761904761906,0.075,1
155,Aegean Airlines,2,"""hand luggage to be checked in""",Economy Class,3.0,3.0,1.0,3.0,2.0,0,0.5761904761904761,0.28095238095238095,1
156,Aegean Airlines,1,"""extra hand luggage I had to pay""",Economy Class,1.0,1.0,2.0,1.0,1.0,0,0.35,-0.325,-1
157,Aegean Airlines,1,"""I was allowed 8kg""",Economy Class,2.0,2.0,2.0,1.0,1.0,0,0.5024242424242424,0.015454545454545448,1
158,Aegean Airlines,9,"""Politely greeted at door""",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.5222222222222223,0.10833333333333334,1
159,Aegean Airlines,1,"""Aegean lost my bag 7 days ago""",Economy Class,3.0,3.0,3.0,1.0,1.0,0,0.6125,-0.29166666666666663,-1
160,Aegean Airlines,7,"""Service was good and attentive as always with this airline""",Economy Class,4.0,5.0,3.0,1.0,1.0,1,0.43459326167659496,0.07802814469481138,1
161,Aegean Airlines,1,"""checked-in luggage has been lost""",Economy Class,2.0,3.0,1.0,1.0,1.0,0,0.5294047619047619,0.0544047619047619,1
162,Aegean Airlines,1,"""exemplary customer service""",Economy Class,3.0,3.0,2.0,1.0,5.0,1,0.5969696969696969,0.19318181818181818,1
163,Aegean Airlines,4,"""very rude, no negotiating and very aggressive""",Economy Class,4.0,1.0,2.0,4.0,3.0,0,0.4944047619047619,0.02809523809523809,1
164,Aegean Airlines,1,"""Due personal reasons, we can't fly to Greece""",Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.31346153846153846,-0.02499999999999999,-1
165,Aegean Airlines,1,"""Excellent service by the cabin crew"" ",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.575,0.3625,1
166,Aegean Airlines,9,"""my first choice to and from Greece""",Economy Class,4.0,5.0,5.0,5.0,5.0,1,0.5223958333333333,0.146875,1
167,Aegean Airlines,1,"""They have lost 2 very good clients""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.5641666666666667,-0.021875000000000006,-1
168,Aegean Airlines,1,"""flexibility is not part of business""",Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.5544871794871795,0.1125,1
169,Aegean Airlines,3,"""space cannot be considered acceptable for business class""",Economy Class,1.0,5.0,3.0,5.0,1.0,0,0.4,0.30000000000000004,1
170,Aegean Airlines,1,"""The complaints process was long and difficult to use""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.41931216931216936,0.09999999999999998,1
171,Aegean Airlines,1,"""only middle seats were available for free""",Economy Class,1.0,3.0,2.0,3.0,1.0,0,0.41490581490581496,0.13996723996723998,1
172,Aegean Airlines,1,"""Excellent service from start to finish""",Economy Class,4.0,5.0,5.0,5.0,5.0,1,0.48315789473684206,0.29850877192982456,1
173,Aegean Airlines,1,"""it is clear that they are in a steep decline""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.45511557408109127,0.08152709359605913,1
174,Aegean Airlines,1,"""friendly and professional staff""",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.5269230769230769,0.25576923076923075,1
175,Aegean Airlines,9,"""Good trip, recommended""",Economy Class,4.0,5.0,4.0,5.0,5.0,1,0.5194444444444445,0.35833333333333334,1
176,Aegean Airlines,6,"""overall experience is very pleasant""",Economy Class,2.0,4.0,2.0,5.0,2.0,1,0.5503780036388732,0.017402911098563244,1
177,Aegean Airlines,4,"""No warm food was offered""",Economy Class,4.0,2.0,1.0,3.0,1.0,1,0.4094642857142857,-0.008794642857142855,-1
178,Aegean Airlines,1,"""bags would be above the 8 kilos allowed""",Economy Class,2.0,4.0,2.0,1.0,1.0,0,0.4190476190476191,0.07976190476190477,1
179,Aegean Airlines,1,"""Best value for money""",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.5363636363636364,0.5380519480519481,1
180,Aegean Airlines,4,"""It was very stressful and inconvenient""",Economy Class,4.0,4.0,3.0,1.0,1.0,0,0.5125,-0.17031249999999998,-1
181,Aegean Airlines,5,"""some things are really frustrating""",Economy Class,4.0,5.0,2.0,4.0,2.0,0,0.5051082251082251,0.13950216450216452,1
182,Aegean Airlines,2,"""faced to pay my seat change""",Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.2333333333333333,-0.13333333333333333,-1
183,Aegean Airlines,2,"""pay 100 pounds for our backpacks""",Economy Class,2.0,3.0,1.0,1.0,2.0,0,0.3,-0.033333333333333326,-1
184,Aegean Airlines,7,"""The biggest letdown are the seats""",Economy Class,3.0,4.0,4.0,4.0,5.0,1,0.238880167451596,0.08928571428571429,1
185,Aegean Airlines,7,"""Nothing to complain about""",Economy Class,3.0,3.0,3.0,4.0,5.0,1,0.4486131996658312,0.13942564745196326,1
186,Aegean Airlines,1,"""They canceled my flight""",Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.4880681818181818,0.004545454545454547,1
187,Aegean Airlines,5,"""Aegean did not use to be like that""",Economy Class,3.0,4.0,2.0,4.0,3.0,0,0.5542087542087542,0.2892255892255893,1
188,Aegean Airlines,2,"""I was 2 kilos over the limit""",Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.28409090909090906,0.06818181818181818,1
189,Aegean Airlines,1,"""had to pay for that 60 euros""",Economy Class,1.0,1.0,2.0,1.0,1.0,0,0.56,-0.353125,-1
190,Aegean Airlines,3,"""45 mins connection window """,Economy Class,4.0,5.0,4.0,3.0,3.0,0,0.8296296296296296,0.10833333333333334,1
191,Aegean Airlines,3,"""now all they have is a snack""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.3458333333333334,0.2625,1
192,Aegean Airlines,1,"""Efficient, friendly service""",Economy Class,3.0,5.0,4.0,5.0,4.0,1,0.48190476190476195,0.3026190476190476,1
